Title,Year,Genre,IMDB Rating,Director,Plot
Inception,2010,"Action, Adventure, Sci-Fi",8.8,Christopher Nolan,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
The Dark Knight,2008,"Action, Crime, Drama",9.0,Christopher Nolan,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
Interstellar,2014,"Adventure, Drama, Sci-Fi",8.7,Christopher Nolan,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
Joker,2019,"Crime, Drama, Thriller",8.3,Todd Phillips,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City."
